品番,商品名,旧カタログ参照,印刷ページ参照,変換方法,旧入数,修正入数,入数修正根拠,確認元PDF
141-180,箱蝶シリコンW極小U13×7,"カタログP.82,83","カタログP.6,7",viewer_page_minus_76,1組,1組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-185,六角ネジG洋白 1.4×10.0,カタログP.124,カタログP.48,viewer_page_minus_76,8本,8本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-185A,六角ネジG洋白(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-185B,六角ネジG洋白(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-186,六角ネジW洋白 1.4×10.0,カタログP.124,カタログP.48,viewer_page_minus_76,8本,8本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-186A,六角ネジW洋白(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-186B,六角ネジW洋白(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-187,六角底付ナットW 1.4×2.25×2.0,"カタログP.125,127","カタログP.49,51",viewer_page_minus_76,18ヶ,18ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-187A,六角底付ナットW(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-187B,六角底付ナットW(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-187C,六角底付ナットW(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-188,金属ワッシャW 2.5×0.5×1.45,カタログP.127,カタログP.51,viewer_page_minus_76,16ヶ,16ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-188A,金属ワッシャW(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-188B,金属ワッシャW(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-189,金属ワッシャW 2.8×0.3×1.45,カタログP.127,カタログP.51,viewer_page_minus_76,16ヶ,16ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-189A,金属ワッシャW(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-189B,金属ワッシャW(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-189C,金属ワッシャW(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-190,ポリカワッシャ 3.0×0.5×1.45,カタログP.127,カタログP.51,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-190A,ポリカワッシャ(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-190B,ポリカワッシャ(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-190C,ポリカワッシャ(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-191,ポリカ段付ワッシャ 1.8×3.0×2.3,カタログP.127,カタログP.51,viewer_page_minus_76,33ヶ,33ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-191A,ポリカ段付ワッシャ(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-191B,ポリカ段付ワッシャ(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-191C,ポリカ段付ワッシャ(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-194,±ツーポイントネジW座付1.4×10.0,"カタログP.110,111,124","カタログP.34,35,48",viewer_page_minus_76,20本,20本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-194A,±ツーポイントネジW座付(100本入),,,no_reference,100本,100本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-194B,±ツーポイントネジW座付(300本入),,,no_reference,300本,300本,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-195,六角ナットG 1.4×2.25×1.0,"カタログP.125,127","カタログP.49,51",viewer_page_minus_76,20ヶ,20ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-195A,六角ナットG(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-195B,六角ナットG(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-195C,六角ナットG(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-196,六角ナットW 1.4×2.25×1.0,"カタログP.125,127","カタログP.49,51",viewer_page_minus_76,24ヶ,24ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-196A,六角ナットW(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-196B,六角ナットW(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-196C,六角ナットW(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-197,ナイロンキャップ 1.4×2.4×3.5,カタログP.125,カタログP.49,viewer_page_minus_76,10ヶ,10ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-197A,ナイロンキャップ(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-197B,ナイロンキャップ(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-197S,ナイロンキャップ(50個入),,,no_reference,50個,50個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-198,ポリカ段付ワッシャ 1.8×3.0×1.6,カタログP.127,カタログP.51,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-198A,ポリカ段付ワッシャ(100個入),,,no_reference,100個,100個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-198B,ポリカ段付ワッシャ(300個入),,,no_reference,300個,300個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-198C,ポリカ段付ワッシャ(1000個入),,,no_reference,1000個,1000個,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-BE,モダンCP平芯1.85×70 ベージュ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-BK,モダンCP平芯1.85×70 ブラック,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-BP,モダンCP平芯1.85×70 ベージュパール,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-BR,モダンCP平芯1.85×70 ブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-CBR,モダンCP平芯1.85×70 クリアブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-DM,モダンCP平芯1.85×70 デミアンバー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-GP,モダンCP平芯1.85×70 グレープ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-P,モダンCP平芯1.85×70 ピンク,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-PL,モダンCP平芯1.85×70 プラム,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-300-WN,モダンCP平芯1.85×70 ワイン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-BE,モダンCP平芯2.1×70 ベージュ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-BK,モダンCP平芯2.1×70 ブラック,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-BP,モダンCP平芯2.1×70 ベージュパール,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-BR,モダンCP平芯2.1×70 ブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-CBR,モダンCP平芯2.1×70 クリアブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-DM,モダンCP平芯2.1×70 デミアンバー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-P,モダンCP平芯2.1×70 ピンク,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-PL,モダンCP平芯2.1×70 プラム,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-301-WN,モダンCP平芯2.1×70 ワイン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-BE,モダンCP平芯2.5×70 ベージュ,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-BK,モダンCP平芯2.5×70 ブラック,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-BR,モダンCP平芯2.5×70 ブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-CBR,モダンCP平芯2.5×70 クリアブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-DB,モダンCP平芯2.5×70 ダークブルー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-DM,モダンCP平芯2.5×70 デミアンバー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-GL,モダンCP平芯2.5×70 グレー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-302-YE,モダンCP平芯2.5×70 ランコー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-BK,モダンCP平芯大3.0×70 ブラック,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-BR,モダンCP平芯大3.0×70 ブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-CBR,モダンCP平芯大3.0×70 クリアブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-DB,モダンCP平芯大3.0×70 ダークブルー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-DM,モダンCP平芯大3.0×70 デミアンバー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-304-GL,モダンCP平芯大3.0×70 グレー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-B,モダンCP平芯大3.8×70 ブルー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-BK,モダンCP平芯大3.8×70 ブラック,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-BR,モダンCP平芯大3.8×70 ブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-CBR,モダンCP平芯大3.8×70 クリアブラウン,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-DM,モダンCP平芯大3.8×70 デミアンバー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-305-GL,モダンCP平芯大3.8×70 グレー,,,no_reference,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-308,六角底付ナット(ナイロン) 1.4×2.5×2.0,カタログP.125,カタログP.49,viewer_page_minus_76,22ヶ,22ヶ,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-310,シリコンワンタッチ小 17×8,"カタログP.84,85,96,97","カタログP.8,9,20,21",viewer_page_minus_76,3組,3組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-310A,シリコンワンタッチ 小(100組入),,,no_reference,100組,100組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-310B,シリコンワンタッチ 小(300組入),,,no_reference,300組,300組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-310S,シリコンワンタッチ 小(50組入),,,no_reference,50組,50組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-311,シリコンワンタッチ大 19×9,"カタログP.84,85","カタログP.8,9",viewer_page_minus_76,3組,3組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-311A,シリコンワンタッチ 大(100組入),,,no_reference,100組,100組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-311B,シリコンワンタッチ 大(300組入),,,no_reference,300組,300組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-311S,シリコンワンタッチ 大(50組入),,,no_reference,50組,50組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-313,箱蝶シリコンG小16×9,"カタログP.82,83","カタログP.6,7",viewer_page_minus_76,1組,1組,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-314-1,ナイロンレール(極太),カタログP.135,カタログP.59,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-314-1A,ナイロンレール(極太)お徳用3m,カタログP.135,カタログP.59,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-314-2,ナイロンレール(太),カタログP.135,カタログP.59,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-314-2A,ナイロンレール(太)お徳用3m,カタログP.135,カタログP.59,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
141-314-4,ナイロンレール(細),カタログP.135,カタログP.59,viewer_page_minus_76,,,,C:\Users\AONUSR02\Desktop\売上データ\サンニシムラ総合カタログ2025-2027 (1).pdf
